25000000
5000000
2500000
500000
250000
50000
25000
10000
a35000000
30000000
3500000
3000000
350000
300000
35000
60000
a10
10
10
10
10
5
5
5
a3000
3000
1000
300
300
30
30
30
a

Mar. 26 2024
'15:32:10
HF loop TM8
801 Pts
 
 
inside mumetal shield
*
*
external supply
*
Hz	V /sqrt(Hz)
38737500	1.155193E-07
38781250	1.410256E-07
38825000	1.392382E-07
38868750	1.458297E-07
38912500	1.319573E-07
38956250	1.38293E-07
39000000	9.154745E-08
39043750	1.176854E-07
39087500	1.341956E-07
39131250	1.206402E-07
39175000	1.008625E-07
39218750	1.444778E-07
39262500	9.897279E-08
39306250	1.23775E-07
39350000	1.008291E-07
39393750	1.378326E-07
39437500	1.082754E-07
39481250	1.113929E-07
39525000	1.041769E-07
39568750	1.17443E-07
39612500	1.195788E-07
39656250	1.232692E-07
39700000	9.832791E-08
39743750	1.253E-07
39787500	6.705671E-08
39831250	1.206324E-07
39875000	1.270515E-07
39918750	1.135676E-07
39962500	1.399559E-07
40006250	1.489293E-07
40050000	8.509449E-08
40093750	8.935966E-08
40137500	1.122155E-07
40181250	1.353738E-07
40225000	9.918563E-08
40268750	1.219544E-07
40312500	1.32032E-07
40356250	1.210546E-07
40400000	1.224105E-07
40443750	9.383184E-08
40487500	9.220571E-08
40531250	1.059129E-07
40575000	1.365481E-07
40618750	1.39108E-07
40662500	1.045462E-07
40706250	1.017689E-07
40750000	1.253947E-07
40793750	1.384831E-07
40837500	1.19921E-07
40881250	1.357224E-07
40925000	1.003785E-07
40968750	8.792403E-08
41012500	1.116299E-07
41056250	1.025304E-07
41100000	1.154206E-07
41143750	1.060495E-07
41187500	1.27965E-07
41231250	9.586721E-08
41275000	1.170325E-07
41318750	9.015083E-08
41362500	1.213925E-07
41406250	9.342562E-08
41450000	1.172372E-07
41493750	1.297048E-07
41537500	1.342617E-07
41581250	1.148809E-07
41625000	7.539433E-08
41668750	1.132023E-07
41712500	1.279169E-07
41756250	1.008426E-07
41800000	1.109641E-07
41843750	1.325208E-07
41887500	1.623735E-07
41931250	1.064853E-07
41975000	1.152131E-07
42018750	1.41119E-07
42062500	1.435497E-07
42106250	8.453006E-08
42150000	1.270475E-07
42193750	8.795964E-08
42237500	8.691826E-08
42281250	9.571433E-08
42325000	9.345584E-08
42368750	1.128951E-07
42412500	1.217438E-07
42456250	1.475941E-07
42500000	1.208881E-07
42543750	1.147126E-07
42587500	1.143109E-07
42631250	1.050158E-07
42675000	7.018404E-08
42718750	1.090049E-07
42762500	1.308872E-07
42806250	9.925898E-08
42850000	1.570089E-07
42893750	9.07547E-08
42937500	7.751325E-08
42981250	1.103582E-07
43025000	8.715911E-08
43068750	1.207681E-07
43112500	9.224734E-08
43156250	1.018147E-07
43200000	1.322194E-07
43243750	7.660364E-08
43287500	1.00865E-07
43331250	6.264374E-08
43375000	8.127599E-08
43418750	8.759191E-08
43462500	1.012054E-07
43506250	1.413317E-07
43550000	1.186378E-07
43593750	9.674143E-08
43637500	9.362212E-08
43681250	1.044552E-07
43725000	9.205422E-08
43768750	9.294012E-08
43812500	1.053288E-07
43856250	9.356088E-08
43900000	9.797256E-08
43943750	9.708437E-08
43987500	1.035702E-07
44031250	1.021798E-07
44075000	7.560664E-08
