f, gain
3.47805e+07,-12.8565
3.48429e+07,-12.9213
3.49052e+07,-13.0123
3.49676e+07,-13.0847
3.503e+07,-13.1556
3.50924e+07,-13.0164
3.51548e+07,-13.2802
3.52171e+07,-13.3645
3.52795e+07,-13.4256
3.53419e+07,-13.5074
3.54042e+07,-13.593
3.54666e+07,-13.6611
3.5529e+07,-13.7399
3.55914e+07,-13.8266
3.56538e+07,-13.8898
3.57161e+07,-13.9679
3.57785e+07,-14.0494
3.58409e+07,-14.1407
3.59032e+07,-14.2246
3.59656e+07,-14.2665
3.6028e+07,-14.337
3.60904e+07,-14.455
3.61528e+07,-14.5136
3.62151e+07,-14.6031
3.62775e+07,-14.6798
3.63399e+07,-14.7444
3.64022e+07,-14.8024
3.64646e+07,-14.8827
3.6527e+07,-14.9683
3.65894e+07,-15.0595
3.66518e+07,-15.1311
3.67141e+07,-15.2027
3.67765e+07,-15.2917
3.68389e+07,-15.3511
3.69012e+07,-15.3983
3.69636e+07,-15.492
3.7026e+07,-15.5734
3.70884e+07,-15.6392
3.71508e+07,-15.7043
3.72131e+07,-15.8179
3.72755e+07,-15.8812
3.73379e+07,-15.9463
3.74002e+07,-16.0246
3.74626e+07,-16.0861
3.7525e+07,-16.1618
3.75874e+07,-16.2408
3.76498e+07,-16.2779
3.77121e+07,-16.3906
3.77745e+07,-16.4722
3.78369e+07,-16.5481
3.78992e+07,-16.5729
3.79616e+07,-16.6684
3.8024e+07,-16.7261
3.80864e+07,-16.7698
3.81488e+07,-16.8593
3.82111e+07,-16.9
3.82735e+07,-16.9961
3.83359e+07,-17.0367
3.83982e+07,-17.1027
3.84606e+07,-17.1951
3.8523e+07,-17.242
3.85854e+07,-17.3234
3.86478e+07,-17.3524
3.87101e+07,-17.4374
3.87725e+07,-17.5166
3.88349e+07,-17.5312
3.88972e+07,-17.5934
3.89596e+07,-17.6894
3.9022e+07,-17.7072
3.90844e+07,-17.7812
3.91468e+07,-17.826
3.92091e+07,-17.901
3.92715e+07,-17.9713
3.93339e+07,-18.0222
3.93962e+07,-18.0555
3.94586e+07,-18.0932
3.9521e+07,-18.118
3.95834e+07,-18.2349
3.96458e+07,-18.2886
3.97081e+07,-18.3363
3.97705e+07,-18.4277
3.98329e+07,-18.4525
3.98952e+07,-18.489
3.99576e+07,-18.5523
4.002e+07,-18.6178
4.00824e+07,-18.6757
4.01448e+07,-18.736
4.02071e+07,-18.7367
4.02695e+07,-18.8036
4.03319e+07,-18.8471
4.03942e+07,-18.9219
4.04566e+07,-18.9813
4.0519e+07,-19.0523
4.05814e+07,-19.0919
4.06438e+07,-19.1566
4.07061e+07,-19.2109
4.07685e+07,-19.2887
4.08309e+07,-19.3063
4.08932e+07,-19.36
4.09556e+07,-19.4493
4.1018e+07,-19.4833
4.10804e+07,-19.5756
4.11428e+07,-19.6607
4.12051e+07,-19.6666
4.12675e+07,-19.7354
4.13299e+07,-19.7964
4.13922e+07,-19.863
4.14546e+07,-19.9214
4.1517e+07,-19.9785
4.15794e+07,-20.0162
4.16418e+07,-20.0691
4.17041e+07,-20.1714
4.17665e+07,-20.2166
4.18289e+07,-20.307
4.18912e+07,-20.3688
4.19536e+07,-20.4149
4.2016e+07,-20.4763
4.20784e+07,-20.5384
4.21408e+07,-20.6161
4.22031e+07,-20.6366
4.22655e+07,-20.7334
4.23279e+07,-20.779
4.23902e+07,-20.8313
4.24526e+07,-20.932
4.2515e+07,-20.9819
4.25774e+07,-21.0468
4.26398e+07,-21.1238
4.27021e+07,-21.1955
4.27645e+07,-21.2984
4.28269e+07,-21.3512
4.28892e+07,-21.3753
4.29516e+07,-21.4899
4.3014e+07,-21.6017
4.30764e+07,-21.6511
4.31388e+07,-21.7704
4.32011e+07,-21.7794
4.32635e+07,-21.9602
4.33259e+07,-22.0187
4.33882e+07,-22.0675
4.34506e+07,-22.167
4.3513e+07,-22.2777
4.35754e+07,-22.3758
4.36378e+07,-22.4676
4.37001e+07,-22.5731
4.37625e+07,-22.6459
4.38249e+07,-22.7438
4.38872e+07,-22.8544
4.39496e+07,-22.9809
4.4012e+07,-23.1126
4.40744e+07,-23.1773
4.41368e+07,-23.3151
4.41991e+07,-23.3288
4.42615e+07,-23.5206
4.43239e+07,-23.6067
4.43862e+07,-23.7815
4.44486e+07,-23.8643
4.4511e+07,-23.9117
4.45734e+07,-24.1279
4.46358e+07,-24.2212
4.46981e+07,-24.3573
4.47605e+07,-24.5262
4.48229e+07,-24.5391
4.48852e+07,-24.7482
4.49476e+07,-24.6802
4.501e+07,-24.9964
4.50724e+07,-25.0205
4.51348e+07,-25.2169
4.51971e+07,-25.2886
4.52595e+07,-25.3932
4.53219e+07,-25.5447
4.53842e+07,-25.6518
4.54466e+07,-25.8004
4.5509e+07,-25.8621
4.55714e+07,-26.002
4.56338e+07,-26.0918
4.56961e+07,-26.2289
4.57585e+07,-26.3406
4.58209e+07,-26.5066
4.58832e+07,-26.679
4.59456e+07,-26.7652
4.6008e+07,-26.8308
4.60704e+07,-26.9336
4.61328e+07,-27.0974
4.61951e+07,-27.192
4.62575e+07,-27.3725
4.63199e+07,-27.3614
4.63822e+07,-27.4256
4.64446e+07,-27.6629
4.6507e+07,-27.8419
4.65694e+07,-27.8645
4.66318e+07,-28.1053
4.66941e+07,-28.1052
4.67565e+07,-28.1555
4.68189e+07,-28.2868
4.68812e+07,-28.386
4.69436e+07,-28.6635
4.7006e+07,-28.6698
4.70684e+07,-28.9007
4.71308e+07,-28.8311
4.71931e+07,-28.931
4.72555e+07,-29.0839
4.73179e+07,-29.1707
4.73802e+07,-29.191
4.74426e+07,-29.3183
4.7505e+07,-29.4511
4.75674e+07,-29.5363
4.76298e+07,-29.7094
4.76921e+07,-29.6985
4.77545e+07,-29.7917
4.78169e+07,-29.8381
4.78792e+07,-29.9885
4.79416e+07,-29.9235
4.8004e+07,-29.9568
4.80664e+07,-30.1291
4.81288e+07,-30.0932
4.81911e+07,-30.0818
4.82535e+07,-30.2422
4.83159e+07,-30.4575
4.83782e+07,-30.3307
4.84406e+07,-30.5384
4.8503e+07,-30.5116
4.85654e+07,-30.579
4.86278e+07,-30.6882
4.86901e+07,-30.7205
4.87525e+07,-30.6248
4.88149e+07,-30.8172
4.88772e+07,-30.7022
4.89396e+07,-30.7558
4.9002e+07,-30.7223
4.90644e+07,-30.9055
4.91268e+07,-30.9147
4.91891e+07,-30.9271
4.92515e+07,-31.1359
4.93139e+07,-31.121
4.93762e+07,-31.2438
4.94386e+07,-31.3074
4.9501e+07,-31.174
4.95634e+07,-31.4824
4.96258e+07,-31.3605
4.96881e+07,-31.3976
4.97505e+07,-31.3691
4.98129e+07,-31.4425
4.98752e+07,-31.6361
4.99376e+07,-31.6608
5e+07,-31.8802
