f,noise
4.1018e+07,-80.7452
4.10804e+07,-82.2631
4.11428e+07,-80.7392
4.12051e+07,-80.5845
4.12675e+07,-83.2079
4.13299e+07,-81.237
4.13922e+07,-81.7969
4.14546e+07,-81.5854
4.1517e+07,-82.5723
4.15794e+07,-80.027
4.16418e+07,-81.0203
4.17041e+07,-81.4747
4.17665e+07,-81.7204
4.18289e+07,-82.6332
4.18912e+07,-82.4616
4.19536e+07,-77.7109
4.2016e+07,-80.8425
4.20784e+07,-81.7193
4.21408e+07,-82.7929
4.22031e+07,-81.8318
4.22655e+07,-80.4989
4.23279e+07,-79.8365
4.23902e+07,-83.3155
4.24526e+07,-81.5512
4.2515e+07,-82.7774
4.25774e+07,-78.3699
4.26398e+07,-80.7784
4.27021e+07,-82.8191
4.27645e+07,-82.8331
4.28269e+07,-80.3999
4.28892e+07,-80.3943
4.29516e+07,-82.1639
4.3014e+07,-80.0577
4.30764e+07,-80.4743
4.31388e+07,-83.688
4.32011e+07,-81.8661
4.32635e+07,-80.9115
4.33259e+07,-83.9656
4.33882e+07,-81.9419
4.34506e+07,-79.6093
4.3513e+07,-81.6705
4.35754e+07,-82.1485
4.36378e+07,-80.0658
4.37001e+07,-82.1153
4.37625e+07,-82.6193
4.38249e+07,-81.788
4.38872e+07,-80.493
4.39496e+07,-82.716
4.4012e+07,-83.522
4.40744e+07,-81.6313
4.41368e+07,-83.3467
4.41991e+07,-82.3586
4.42615e+07,-79.7544
4.43239e+07,-80.1775
4.43862e+07,-82.0025
4.44486e+07,-81.5439
4.4511e+07,-82.1779
4.45734e+07,-83.1221
4.46358e+07,-82.6022
4.46981e+07,-82.3904
4.47605e+07,-82.7131
4.48229e+07,-82.3429
4.48852e+07,-82.471
4.49476e+07,-83.2167
4.501e+07,-80.753
4.50724e+07,-81.6648
4.51348e+07,-81.3898
4.51971e+07,-83.5177
4.52595e+07,-81.884
4.53219e+07,-81.7074
4.53842e+07,-81.2517
4.54466e+07,-81.9536
4.5509e+07,-80.2783
4.55714e+07,-83.3114
4.56338e+07,-82.0627
4.56961e+07,-83.2586
4.57585e+07,-82.1668
4.58209e+07,-82.9361
4.58832e+07,-82.6601
4.59456e+07,-82.8002
4.6008e+07,-81.8053
4.60704e+07,-82.3854
4.61328e+07,-81.8301
4.61951e+07,-82.7993
4.62575e+07,-81.3857
4.63199e+07,-83.5212
4.63822e+07,-82.5202
4.64446e+07,-81.9885
4.6507e+07,-79.0208
4.65694e+07,-79.9831
4.66318e+07,-81.3184
4.66941e+07,-82.2825
4.67565e+07,-83.2249
4.68189e+07,-80.5421
4.68812e+07,-82.0711
4.69436e+07,-83.6117
4.7006e+07,-80.8525
4.70684e+07,-79.2507
4.71308e+07,-80.684
4.71931e+07,-80.9085
4.72555e+07,-81.7004
4.73179e+07,-80.7894
4.73802e+07,-81.9851
4.74426e+07,-82.2266
4.7505e+07,-80.4043
4.75674e+07,-81.8502
4.76298e+07,-79.2346
4.76921e+07,-81.9006
4.77545e+07,-81.6674
4.78169e+07,-82.1396
4.78792e+07,-79.7761
4.79416e+07,-81.9125
4.8004e+07,-81.4396
4.80664e+07,-83.0145
4.81288e+07,-80.6748
4.81911e+07,-82.6378
4.82535e+07,-81.835
4.83159e+07,-81.6282
4.83782e+07,-82.3635
4.84406e+07,-81.847
4.8503e+07,-82.5193
4.85654e+07,-83.858
4.86278e+07,-81.6704
4.86901e+07,-81.559
4.87525e+07,-80.6781
4.88149e+07,-83.292
4.88772e+07,-83.722
4.89396e+07,-81.5581
4.9002e+07,-83.1722
4.90644e+07,-81.256
4.91268e+07,-83.0616
4.91891e+07,-81.0505
4.92515e+07,-83.1861
4.93139e+07,-82.9018
4.93762e+07,-83.7517
4.94386e+07,-82.4612
4.9501e+07,-81.5132
4.95634e+07,-84.0648
4.96258e+07,-80.5976
4.96881e+07,-81.7227
4.97505e+07,-82.2581
4.98129e+07,-82.6806
4.98752e+07,-81.9889
4.99376e+07,-82.6106
5e+07,-82.3981
