f,loop
4.88149e+07,-64.1662
4.88772e+07,-64.1709
4.89396e+07,-64.1575
4.9002e+07,-64.1337
4.90644e+07,-64.1325
4.91268e+07,-64.0658
4.91891e+07,-64.0695
4.92515e+07,-64.0981
4.93139e+07,-64.0525
4.93762e+07,-64.0473
4.94386e+07,-64.0405
4.9501e+07,-64.0613
4.95634e+07,-64.067
4.96258e+07,-64.0165
4.96881e+07,-63.9925
4.97505e+07,-63.9985
4.98129e+07,-63.9721
4.98752e+07,-63.9663
4.99376e+07,-63.9439
5e+07,-63.9677
