Hz,Rfb reduced 1.2k,Rfb reduced 1.2k bis,all grounded,braid grounded 1 side,braid grounded 1 side bis,braid grounded 1 side ter,braid grounded 1 side ext. Power supply,Rfb back to 3k
21625,2.72E-07,4.00E-07,1.40E-07,1.02E-07,9.37E-08,1.01E-07,2.70E-06,1.02E-07
21700,5.24E-07,5.58E-07,1.12E-07,1.00E-07,1.29E-07,1.45E-07,2.09E-06,1.62E-07
21775,4.67E-07,4.30E-07,1.59E-07,1.13E-07,1.09E-07,1.06E-07,2.76E-06,5.40E-08
21850,3.98E-07,4.74E-07,1.39E-07,9.98E-08,1.16E-07,7.51E-08,2.45E-06,9.88E-08
21925,3.43E-07,3.50E-07,1.41E-07,9.01E-08,9.83E-08,8.27E-08,2.76E-06,1.04E-07
22000,3.94E-07,3.05E-07,1.64E-07,9.04E-08,9.67E-08,1.14E-07,2.21E-06,8.91E-08
22075,3.10E-07,4.99E-07,1.38E-07,1.63E-07,1.04E-07,1.38E-07,3.12E-06,1.23E-07
22150,4.43E-07,4.33E-07,1.66E-07,1.14E-07,7.88E-08,9.15E-08,1.72E-06,1.08E-07
22225,3.16E-07,4.98E-07,1.44E-07,1.49E-07,1.51E-07,1.46E-07,2.28E-06,1.09E-07
22300,3.98E-07,3.72E-07,1.55E-07,1.08E-07,9.60E-08,9.15E-08,3.06E-06,1.09E-07
22375,4.18E-07,3.54E-07,1.12E-07,1.08E-07,1.01E-07,7.16E-08,2.49E-06,1.48E-07
22450,5.27E-07,3.55E-07,1.92E-07,1.25E-07,6.23E-08,1.24E-07,1.81E-06,1.35E-07
22525,4.74E-07,4.37E-07,1.26E-07,1.76E-07,1.09E-07,1.13E-07,2.41E-06,1.24E-07
22600,3.74E-07,2.63E-07,1.49E-07,1.21E-07,1.27E-07,9.53E-08,2.46E-06,1.06E-07
22675,4.42E-07,4.60E-07,1.23E-07,1.09E-07,9.09E-08,1.15E-07,1.97E-06,9.92E-08
22750,4.35E-07,4.72E-07,1.36E-07,1.36E-07,1.54E-07,1.36E-07,8.83E-07,1.25E-07
22825,5.30E-07,3.95E-07,1.01E-07,9.14E-08,1.43E-07,1.64E-07,2.24E-06,8.36E-08
22900,4.55E-07,4.31E-07,1.06E-07,1.36E-07,1.29E-07,1.14E-07,1.84E-06,1.03E-07
22975,6.53E-07,5.67E-07,1.17E-07,1.20E-07,9.35E-08,9.91E-08,1.66E-06,1.57E-07
23050,4.33E-07,4.49E-07,1.60E-07,9.88E-08,7.73E-08,8.66E-08,1.10E-06,1.16E-07
23125,4.51E-07,2.98E-07,1.77E-07,1.22E-07,1.35E-07,1.18E-07,2.18E-06,1.21E-07
23200,2.58E-07,3.64E-07,8.83E-08,1.19E-07,8.07E-08,6.97E-08,1.33E-06,9.73E-08
23275,4.66E-07,4.34E-07,9.49E-08,1.34E-07,1.08E-07,1.24E-07,1.64E-06,1.32E-07
23350,6.04E-07,3.53E-07,1.18E-07,1.17E-07,1.32E-07,7.40E-08,8.29E-07,1.47E-07
23425,4.18E-07,2.70E-07,7.02E-08,8.70E-08,1.02E-07,9.34E-08,2.35E-06,1.61E-07
23500,3.02E-07,6.33E-07,1.34E-07,1.04E-07,1.42E-07,1.07E-07,1.25E-06,8.22E-08
23575,3.21E-07,3.37E-07,1.09E-07,7.16E-08,1.01E-07,9.58E-08,1.33E-06,9.56E-08
23650,4.98E-07,3.24E-07,1.50E-07,1.35E-07,1.28E-07,1.53E-07,1.27E-06,1.45E-07
23725,3.48E-07,4.76E-07,1.43E-07,1.02E-07,1.03E-07,1.11E-07,1.76E-06,9.15E-08
23800,4.60E-07,4.15E-07,7.60E-08,1.51E-07,1.62E-07,1.37E-07,9.51E-07,1.08E-07
23875,4.67E-07,4.71E-07,1.26E-07,1.25E-07,1.45E-07,1.24E-07,1.08E-06,1.47E-07
23950,5.32E-07,3.66E-07,1.86E-07,1.13E-07,9.88E-08,1.06E-07,1.04E-06,1.17E-07
24025,4.76E-07,2.98E-07,7.79E-08,1.15E-07,1.05E-07,1.49E-07,1.93E-06,1.09E-07
24100,4.56E-07,3.69E-07,9.58E-08,9.43E-08,1.24E-07,8.86E-08,1.29E-06,1.43E-07
24175,3.86E-07,6.69E-07,1.67E-07,1.06E-07,9.22E-08,1.47E-07,1.55E-06,1.34E-07
24250,4.90E-07,2.89E-07,1.23E-07,1.11E-07,1.02E-07,1.27E-07,1.18E-06,6.81E-08
24325,4.22E-07,2.84E-07,1.13E-07,9.37E-08,7.16E-08,8.13E-08,1.43E-06,1.06E-07
24400,4.20E-07,4.19E-07,1.22E-07,6.75E-08,7.41E-08,1.07E-07,8.20E-07,1.37E-07
24475,7.70E-07,3.53E-07,1.77E-07,1.21E-07,1.02E-07,9.46E-08,1.54E-06,1.13E-07
24550,3.64E-07,5.59E-07,1.43E-07,1.23E-07,1.56E-07,9.49E-08,8.26E-07,9.45E-08
24625,3.57E-07,2.89E-07,1.18E-07,8.87E-08,1.27E-07,1.02E-07,1.32E-06,1.02E-07
24700,4.03E-07,5.01E-07,1.13E-07,1.23E-07,1.33E-07,8.53E-08,7.62E-07,1.15E-07
24775,4.33E-07,4.37E-07,1.27E-07,1.53E-07,1.32E-07,1.11E-07,1.32E-06,1.02E-07
24850,2.78E-07,3.43E-07,7.84E-08,1.29E-07,1.02E-07,9.76E-08,1.09E-06,1.12E-07
24925,3.81E-07,4.45E-07,7.38E-08,1.33E-07,8.58E-08,1.05E-07,7.68E-07,1.49E-07
25000,4.74E-07,3.74E-07,1.91E-07,1.48E-07,1.05E-07,1.39E-07,8.63E-07,1.36E-07
25000,4.18E-07,5.11E-07,1.66E-07,1.04E-07,1.39E-07,9.25E-08,1.00E-06,8.33E-08
25043.75,3.89E-07,5.23E-07,1.31E-07,1.11E-07,1.16E-07,8.98E-08,1.12E-06,8.36E-08
25075,4.81E-07,2.44E-07,1.06E-07,1.42E-07,1.28E-07,1.27E-07,1.29E-06,1.20E-07
25087.5,5.14E-07,4.41E-07,1.23E-07,1.17E-07,8.71E-08,1.02E-07,1.46E-06,1.18E-07
25131.25,3.14E-07,4.69E-07,1.12E-07,1.22E-07,7.83E-08,1.30E-07,1.27E-06,1.34E-07
25150,3.89E-07,5.89E-07,1.66E-07,1.19E-07,1.02E-07,1.17E-07,7.08E-07,1.05E-07
25175,4.49E-07,3.81E-07,1.31E-07,8.62E-08,5.39E-08,1.41E-07,7.93E-07,1.28E-07
25218.75,3.59E-07,3.21E-07,9.44E-08,1.38E-07,1.06E-07,9.42E-08,1.40E-06,9.30E-08
25225,6.25E-07,3.72E-07,1.47E-07,7.33E-08,1.07E-07,6.38E-08,1.26E-06,1.29E-07
25262.5,4.34E-07,6.32E-07,1.09E-07,7.81E-08,1.16E-07,1.26E-07,1.05E-06,1.21E-07
25300,5.04E-07,5.09E-07,1.25E-07,9.94E-08,7.65E-08,1.08E-07,7.07E-07,1.20E-07
25306.25,4.32E-07,3.63E-07,1.45E-07,6.72E-08,1.09E-07,8.30E-08,7.25E-07,1.04E-07
25350,3.99E-07,4.66E-07,1.77E-07,1.48E-07,1.08E-07,1.49E-07,4.31E-06,9.22E-08
25375,5.54E-07,2.61E-07,1.45E-07,1.28E-07,8.68E-08,8.45E-08,3.31E-06,1.53E-07
25393.75,4.56E-07,6.49E-07,8.11E-08,7.49E-08,1.02E-07,1.07E-07,9.40E-07,1.42E-07
25437.5,4.80E-07,5.25E-07,1.27E-07,1.16E-07,1.13E-07,1.07E-07,1.17E-06,7.99E-08
25450,3.58E-07,3.64E-07,1.25E-07,7.88E-08,1.26E-07,1.24E-07,1.03E-06,1.14E-07
25481.25,3.51E-07,4.94E-07,1.33E-07,8.64E-08,1.11E-07,1.59E-07,1.16E-06,1.06E-07
25525,5.85E-07,4.26E-07,1.53E-07,1.12E-07,1.14E-07,1.19E-07,1.31E-06,1.00E-07
25525,5.43E-07,5.87E-07,1.12E-07,1.00E-07,1.21E-07,1.45E-07,9.47E-07,1.36E-07
25568.75,3.74E-07,5.57E-07,1.05E-07,8.82E-08,1.38E-07,1.20E-07,1.31E-06,1.21E-07
25600,5.88E-07,3.46E-07,1.35E-07,1.18E-07,1.52E-07,9.44E-08,5.74E-07,1.14E-07
25612.5,6.05E-07,4.78E-07,1.44E-07,6.77E-08,1.64E-07,1.02E-07,1.02E-06,1.41E-07
25656.25,4.33E-07,3.47E-07,1.02E-07,9.60E-08,1.40E-07,1.19E-07,8.98E-07,1.21E-07
25675,3.91E-07,5.96E-07,1.16E-07,7.56E-08,8.39E-08,9.51E-08,7.83E-07,1.25E-07
25700,3.22E-07,3.52E-07,1.55E-07,1.29E-07,1.28E-07,1.14E-07,1.15E-06,9.69E-08
25743.75,6.16E-07,4.02E-07,1.66E-07,1.25E-07,1.15E-07,1.13E-07,9.14E-07,1.39E-07
25750,5.53E-07,5.12E-07,9.52E-08,1.20E-07,1.63E-07,7.61E-08,9.34E-07,1.51E-07
25787.5,4.95E-07,2.84E-07,1.17E-07,1.09E-07,1.02E-07,6.42E-08,8.16E-07,1.15E-07
