Hz,V /sqrt(Hz)
38387.5,6.88E-08
38425,9.44E-08
38431.25,9.81E-08
38475,6.08E-08
38500,7.11E-08
38518.75,6.25E-08
38562.5,1.12E-07
38575,5.32E-08
38606.25,8.38E-08
38650,4.85E-08
38650,7.44E-08
38693.75,4.61E-08
38725,8.52E-08
38737.5,8.89E-08
38781.25,8.40E-08
38800,9.36E-08
38825,4.21E-08
38868.75,8.71E-08
38875,7.18E-08
38912.5,8.12E-08
38950,7.26E-08
38956.25,5.59E-08
39000,6.52E-08
39025,9.65E-08
39043.75,6.01E-08
39087.5,4.69E-08
39100,4.53E-08
39131.25,5.14E-08
39175,6.51E-08
39175,5.13E-08
39218.75,7.52E-08
39250,7.34E-08
39262.5,6.24E-08
39306.25,7.06E-08
39325,8.42E-08
39350,7.64E-08
39393.75,5.18E-08
39400,5.62E-08
39437.5,7.88E-08
39475,4.84E-08
39481.25,3.06E-08
39525,6.41E-08
39550,7.39E-08
39568.75,8.45E-08
39612.5,8.09E-08
39625,6.25E-08
39656.25,9.14E-08
39700,4.02E-08
39700,6.84E-08
39743.75,7.10E-08
39775,6.05E-08
39787.5,7.53E-08
39831.25,7.25E-08
39850,6.26E-08
39875,5.02E-08
39918.75,9.21E-08
39925,4.86E-08
39962.5,4.46E-08
40000,6.70E-08
40006.25,6.04E-08
40050,5.18E-08
40075,8.33E-08
40093.75,4.70E-08
40137.5,8.33E-08
40150,6.44E-08
40181.25,5.56E-08
40225,5.04E-08
40225,6.91E-08
40268.75,4.81E-08
40300,6.42E-08
40312.5,9.76E-08
40356.25,5.75E-08
40375,7.50E-08
40400,5.00E-08
40443.75,4.40E-08
40450,6.98E-08
40487.5,8.31E-08
40525,7.55E-08
40531.25,5.75E-08
40575,5.41E-08
40600,6.55E-08
40618.75,5.50E-08
40662.5,6.35E-08
40675,7.41E-08
40706.25,4.36E-08
40750,4.33E-08
40750,4.97E-08
40793.75,5.67E-08
40825,4.88E-08
40837.5,6.70E-08
40881.25,5.86E-08
40900,7.11E-08
40925,6.72E-08
40968.75,6.93E-08
40975,7.91E-08
41012.5,7.33E-08
41050,5.53E-08
41056.25,5.37E-08
41100,6.00E-08
41125,6.19E-08
41143.75,5.38E-08
41187.5,5.28E-08
41200,8.83E-08
41231.25,7.35E-08
41275,9.32E-08
41275,5.30E-08
41318.75,6.26E-08
41350,6.37E-08
41362.5,7.14E-08
41406.25,7.38E-08
41425,4.03E-08
41450,6.21E-08
41493.75,6.30E-08
41500,7.99E-08
41537.5,7.19E-08
41575,5.43E-08
41581.25,5.05E-08
41625,6.85E-08
41650,6.27E-08
41668.75,5.08E-08
41712.5,5.92E-08
41725,5.28E-08
41756.25,4.83E-08
41800,4.63E-08
41800,8.97E-08
41843.75,8.08E-08
41875,8.43E-08
41887.5,9.51E-08
41931.25,5.02E-08
41950,6.76E-08
41975,9.34E-08
42018.75,6.60E-08
42025,1.27E-07
42062.5,3.99E-08
42100,4.90E-08
42106.25,6.86E-08
42150,7.25E-08
42175,6.47E-08
42193.75,6.23E-08
