f,noise
2.77945e+07,-82.083
2.78569e+07,-79.766
2.79192e+07,-80.5504
2.79816e+07,-80.5305
2.8044e+07,-79.3767
2.81064e+07,-79.516
2.81688e+07,-81.4893
2.82311e+07,-82.5426
2.82935e+07,-81.3036
2.83559e+07,-80.3249
2.84182e+07,-82.3089
2.84806e+07,-78.6627
2.8543e+07,-81.09
2.86054e+07,-79.9841
2.86678e+07,-81.4224
2.87301e+07,-81.791
2.87925e+07,-81.8137
2.88549e+07,-79.0112
2.89172e+07,-81.802
2.89796e+07,-79.7547
2.9042e+07,-80.7686
2.91044e+07,-82.5782
2.91668e+07,-81.7106
2.92291e+07,-82.3559
2.92915e+07,-82.3802
2.93539e+07,-80.9318
2.94162e+07,-83.5415
2.94786e+07,-81.9857
2.9541e+07,-79.6281
2.96034e+07,-82.4408
2.96658e+07,-81.6757
2.97281e+07,-82.5147
2.97905e+07,-82.0554
2.98529e+07,-79.7079
2.99152e+07,-82.856
2.99776e+07,-82.9207
3.004e+07,-81.8686
3.01024e+07,-80.726
3.01648e+07,-83.7377
3.02271e+07,-82.551
3.02895e+07,-82.1849
3.03519e+07,-81.7082
3.04142e+07,-82.5382
3.04766e+07,-80.575
3.0539e+07,-84.0868
3.06014e+07,-81.856
3.06638e+07,-81.995
3.07261e+07,-82.4509
3.07885e+07,-82.525
3.08509e+07,-83.0367
3.09132e+07,-82.5248
3.09756e+07,-81.7865
3.1038e+07,-82.8023
3.11004e+07,-82.751
3.11628e+07,-81.1058
3.12251e+07,-82.1472
3.12875e+07,-81.4172
3.13499e+07,-82.6617
3.14122e+07,-80.2039
3.14746e+07,-81.4277
3.1537e+07,-81.3404
3.15994e+07,-83.5511
3.16618e+07,-82.1821
3.17241e+07,-82.737
3.17865e+07,-82.9954
3.18489e+07,-82.4981
3.19112e+07,-82.8006
3.19736e+07,-81.3396
3.2036e+07,-82.6983
3.20984e+07,-83.5083
3.21608e+07,-84.4947
3.22231e+07,-81.9569
3.22855e+07,-81.2205
3.23479e+07,-82.8383
3.24102e+07,-82.6469
3.24726e+07,-79.1545
3.2535e+07,-81.8867
3.25974e+07,-79.884
3.26598e+07,-83.4793
3.27221e+07,-84.2023
3.27845e+07,-80.6803
3.28469e+07,-82.4714
3.29092e+07,-81.2621
3.29716e+07,-82.8242
3.3034e+07,-82.4586
