f, gain
3.52795e+07,-31.6954
3.53419e+07,-31.7123
3.54042e+07,-31.7298
3.54666e+07,-31.7449
3.5529e+07,-31.7605
3.55914e+07,-31.7709
3.56538e+07,-31.7973
3.57161e+07,-31.807
3.57785e+07,-31.8263
3.58409e+07,-31.8523
3.59032e+07,-31.8674
3.59656e+07,-31.8752
3.6028e+07,-31.9043
3.60904e+07,-31.919
3.61528e+07,-31.9382
3.62151e+07,-31.9501
3.62775e+07,-31.9676
3.63399e+07,-31.9799
3.64022e+07,-31.9896
3.64646e+07,-32.0059
3.6527e+07,-32.0177
3.65894e+07,-32.0306
3.66518e+07,-32.038
3.67141e+07,-32.0523
3.67765e+07,-32.061
3.68389e+07,-32.0697
3.69012e+07,-32.0789
3.69636e+07,-32.0887
3.7026e+07,-32.0964
3.70884e+07,-32.0962
3.71508e+07,-32.1187
3.72131e+07,-32.123
3.72755e+07,-32.1356
3.73379e+07,-32.1515
3.74002e+07,-32.1587
3.74626e+07,-32.1714
3.7525e+07,-32.182
3.75874e+07,-32.1907
3.76498e+07,-32.1992
3.77121e+07,-32.2112
3.77745e+07,-32.2188
3.78369e+07,-32.2264
3.78992e+07,-32.2357
3.79616e+07,-32.2421
3.8024e+07,-32.2483
3.80864e+07,-32.2512
3.81488e+07,-32.2672
3.82111e+07,-32.2657
3.82735e+07,-32.28
3.83359e+07,-32.2777
3.83982e+07,-32.2848
3.84606e+07,-32.2917
3.8523e+07,-32.2988
3.85854e+07,-32.3134
3.86478e+07,-32.3163
3.87101e+07,-32.3246
3.87725e+07,-32.3334
3.88349e+07,-32.3427
3.88972e+07,-32.3471
3.89596e+07,-32.3547
3.9022e+07,-32.3573
3.90844e+07,-32.367
3.91468e+07,-32.3815
3.92091e+07,-32.3887
3.92715e+07,-32.3969
3.93339e+07,-32.4044
3.93962e+07,-32.4141
3.94586e+07,-32.4239
3.9521e+07,-32.4311
3.95834e+07,-32.4398
3.96458e+07,-32.4506
3.97081e+07,-32.4582
3.97705e+07,-32.4667
3.98329e+07,-32.4781
3.98952e+07,-32.4892
3.99576e+07,-32.5023
4.002e+07,-32.511
4.00824e+07,-32.522
4.01448e+07,-32.5359
4.02071e+07,-32.5471
4.02695e+07,-32.5604
4.03319e+07,-32.5771
4.03942e+07,-32.5859
4.04566e+07,-32.6054
4.0519e+07,-32.6158
4.05814e+07,-32.6347
4.06438e+07,-32.6462
4.07061e+07,-32.6605
4.07685e+07,-32.6776
4.08309e+07,-32.6969
4.08932e+07,-32.7101
4.09556e+07,-32.7298
4.1018e+07,-32.7446
4.10804e+07,-32.7645
4.11428e+07,-32.7846
4.12051e+07,-32.8112
4.12675e+07,-32.8303
4.13299e+07,-32.8534
4.13922e+07,-32.8792
4.14546e+07,-32.9048
4.1517e+07,-32.9364
4.15794e+07,-32.9623
4.16418e+07,-33.0028
4.17041e+07,-33.0392
4.17665e+07,-33.0783
4.18289e+07,-33.1279
4.18912e+07,-33.1803
4.19536e+07,-33.2366
4.2016e+07,-33.2937
4.20784e+07,-33.3782
4.21408e+07,-33.456
4.22031e+07,-33.5446
4.22655e+07,-33.6422
4.23279e+07,-33.7465
4.23902e+07,-33.8794
4.24526e+07,-34.0082
4.2515e+07,-34.1565
