f,loop
2.39896e+07,-68.9041
2.4052e+07,-68.8334
2.41144e+07,-68.874
2.41768e+07,-68.8935
2.42391e+07,-68.8919
2.43015e+07,-68.8945
2.43639e+07,-68.9169
2.44262e+07,-68.9195
2.44886e+07,-68.8543
2.4551e+07,-68.9731
2.46134e+07,-68.8524
2.46758e+07,-68.8508
2.47381e+07,-68.8943
2.48005e+07,-68.8055
2.48629e+07,-68.8459
2.49252e+07,-68.8302
2.49876e+07,-69.0382
2.505e+07,-68.7539
2.51124e+07,-68.845
2.51748e+07,-68.8065
2.52371e+07,-68.7776
2.52995e+07,-68.8087
2.53619e+07,-68.8071
2.54242e+07,-68.8165
2.54866e+07,-68.7808
2.5549e+07,-68.7969
2.56114e+07,-68.7763
2.56738e+07,-68.7354
2.57361e+07,-68.7014
2.57985e+07,-68.7349
2.58609e+07,-68.774
2.59232e+07,-68.7575
2.59856e+07,-68.7193
2.6048e+07,-68.7408
2.61104e+07,-68.6664
2.61728e+07,-68.7403
2.62351e+07,-68.674
2.62975e+07,-68.6402
2.63599e+07,-68.7072
2.64222e+07,-68.6518
2.64846e+07,-68.6355
2.6547e+07,-68.6393
2.66094e+07,-68.6672
2.66718e+07,-68.6576
2.67341e+07,-68.6426
2.67965e+07,-68.6143
2.68589e+07,-68.6569
2.69212e+07,-68.6567
2.69836e+07,-68.5763
2.7046e+07,-68.5854
2.71084e+07,-68.66
2.71708e+07,-68.6076
2.72331e+07,-68.5768
2.72955e+07,-68.5659
2.73579e+07,-68.5564
2.74202e+07,-68.604
2.74826e+07,-68.6065
2.7545e+07,-68.5956
2.76074e+07,-68.5039
2.76698e+07,-68.546
2.77321e+07,-68.5736
2.77945e+07,-68.5072
2.78569e+07,-68.5771
2.79192e+07,-68.5331
2.79816e+07,-68.5184
2.8044e+07,-68.534
2.81064e+07,-68.5087
2.81688e+07,-68.3866
2.82311e+07,-68.4766
2.82935e+07,-68.4816
2.83559e+07,-68.5223
2.84182e+07,-68.5644
2.84806e+07,-68.3959
2.8543e+07,-68.4689
2.86054e+07,-68.3876
2.86678e+07,-68.454
2.87301e+07,-68.4774
2.87925e+07,-68.468
2.88549e+07,-68.4245
2.89172e+07,-68.4347
2.89796e+07,-68.3797
2.9042e+07,-68.4134
2.91044e+07,-68.404
2.91668e+07,-68.4312
2.92291e+07,-68.4192
2.92915e+07,-68.4229
2.93539e+07,-68.3511
2.94162e+07,-68.3431
2.94786e+07,-68.3792
2.9541e+07,-68.3608
2.96034e+07,-68.3618
2.96658e+07,-68.3811
2.97281e+07,-68.271
2.97905e+07,-68.3456
2.98529e+07,-68.3609
2.99152e+07,-68.362
2.99776e+07,-68.3488
3.004e+07,-68.3085
3.01024e+07,-68.2979
3.01648e+07,-68.2437
3.02271e+07,-68.3104
3.02895e+07,-68.2612
3.03519e+07,-68.3151
3.04142e+07,-68.271
3.04766e+07,-68.2657
3.0539e+07,-68.2168
3.06014e+07,-68.2961
3.06638e+07,-68.2663
3.07261e+07,-68.2699
3.07885e+07,-68.221
3.08509e+07,-68.2374
3.09132e+07,-68.1315
3.09756e+07,-68.2331
3.1038e+07,-68.2277
3.11004e+07,-68.2262
3.11628e+07,-68.1509
3.12251e+07,-68.1443
3.12875e+07,-68.1213
3.13499e+07,-68.1451
3.14122e+07,-68.1728
3.14746e+07,-68.1713
3.1537e+07,-68.1368
3.15994e+07,-68.1252
3.16618e+07,-68.1974
3.17241e+07,-68.1526
3.17865e+07,-68.1867
3.18489e+07,-68.055
3.19112e+07,-68.1494
3.19736e+07,-68.1682
3.2036e+07,-68.1807
3.20984e+07,-68.1006
3.21608e+07,-68.1105
3.22231e+07,-68.0524
3.22855e+07,-68.0836
3.23479e+07,-68.1073
3.24102e+07,-68.0882
3.24726e+07,-68.1043
3.2535e+07,-68.0488
3.25974e+07,-68.0285
3.26598e+07,-68.1175
3.27221e+07,-68.0543
3.27845e+07,-68.0704
3.28469e+07,-68.0602
3.29092e+07,-68.0299
3.29716e+07,-68.0159
3.3034e+07,-68.057
3.30964e+07,-68.0932
3.31588e+07,-68.0527
3.32211e+07,-68.015
3.32835e+07,-68.0272
3.33459e+07,-68.0257
3.34082e+07,-68.0468
3.34706e+07,-67.9903
3.3533e+07,-68.0363
3.35954e+07,-67.9861
3.36578e+07,-68.0034
3.37201e+07,-68.0081
3.37825e+07,-68.0217
3.38449e+07,-68.0077
3.39072e+07,-68.005
3.39696e+07,-68.031
3.4032e+07,-68.0182
3.40944e+07,-67.9458
3.41568e+07,-67.9481
3.42191e+07,-68.0251
3.42815e+07,-67.9762
3.43439e+07,-68.0083
3.44062e+07,-67.9608
3.44686e+07,-67.8925
3.4531e+07,-68.0389
3.45934e+07,-67.9688
3.46558e+07,-67.9574
3.47181e+07,-67.9559
3.47805e+07,-67.9334
3.48429e+07,-67.9431
3.49052e+07,-67.9094
3.49676e+07,-67.9488
3.503e+07,-67.9154
3.50924e+07,-67.7705
3.51548e+07,-67.9544
3.52171e+07,-67.9364
3.52795e+07,-67.8564
3.53419e+07,-67.9588
3.54042e+07,-67.9065
3.54666e+07,-67.9253
3.5529e+07,-67.8693
3.55914e+07,-67.921
3.56538e+07,-67.8424
3.57161e+07,-67.9651
3.57785e+07,-67.9242
3.58409e+07,-67.8859
3.59032e+07,-67.8591
3.59656e+07,-67.8715
3.6028e+07,-67.8928
3.60904e+07,-67.8169
3.61528e+07,-67.8848
3.62151e+07,-67.948
3.62775e+07,-67.8112
3.63399e+07,-67.8651
3.64022e+07,-67.8409
3.64646e+07,-67.9178
3.6527e+07,-67.9011
3.65894e+07,-67.9301
3.66518e+07,-67.8791
3.67141e+07,-67.8852
3.67765e+07,-67.9103
3.68389e+07,-67.823
3.69012e+07,-67.8228
3.69636e+07,-67.8666
3.7026e+07,-67.8828
3.70884e+07,-67.8561
3.71508e+07,-67.8193
3.72131e+07,-67.7603
3.72755e+07,-67.8377
3.73379e+07,-67.8728
3.74002e+07,-67.8587
3.74626e+07,-67.8623
3.7525e+07,-67.8243
3.75874e+07,-67.8896
3.76498e+07,-67.8945
3.77121e+07,-67.8968
3.77745e+07,-67.8763
3.78369e+07,-67.8256
3.78992e+07,-67.8733
3.79616e+07,-67.8428
3.8024e+07,-67.8363
3.80864e+07,-67.865
3.81488e+07,-67.856
3.82111e+07,-67.9611
3.82735e+07,-67.882
3.83359e+07,-67.8704
3.83982e+07,-67.8664
3.84606e+07,-67.8877
3.8523e+07,-67.8963
3.85854e+07,-67.8746
3.86478e+07,-67.8756
3.87101e+07,-67.8956
3.87725e+07,-67.8827
3.88349e+07,-67.8673
3.88972e+07,-67.8318
3.89596e+07,-67.8543
3.9022e+07,-67.8137
3.90844e+07,-67.8588
3.91468e+07,-67.8372
3.92091e+07,-67.8559
3.92715e+07,-67.8229
3.93339e+07,-67.8441
3.93962e+07,-67.8779
3.94586e+07,-67.9234
3.9521e+07,-67.8787
3.95834e+07,-67.9064
3.96458e+07,-67.891
3.97081e+07,-67.9148
3.97705e+07,-67.9324
3.98329e+07,-67.87
3.98952e+07,-67.9383
3.99576e+07,-67.919
4.002e+07,-67.9328
4.00824e+07,-67.9402
4.01448e+07,-67.9336
4.02071e+07,-67.95
4.02695e+07,-67.9638
4.03319e+07,-67.9828
4.03942e+07,-67.9467
4.04566e+07,-67.9554
4.0519e+07,-67.9068
4.05814e+07,-67.9256
4.06438e+07,-67.9535
4.07061e+07,-67.9635
4.07685e+07,-67.9517
4.08309e+07,-67.9707
4.08932e+07,-68.0502
4.09556e+07,-68.0023
4.1018e+07,-67.9559
4.10804e+07,-67.9813
4.11428e+07,-67.9913
4.12051e+07,-68.0168
4.12675e+07,-67.9333
4.13299e+07,-68.0408
4.13922e+07,-68.0445
4.14546e+07,-68.0701
4.1517e+07,-68.0054
4.15794e+07,-68.0813
4.16418e+07,-68.0746
4.17041e+07,-67.9905
4.17665e+07,-68.0457
4.18289e+07,-67.9875
4.18912e+07,-68.1009
4.19536e+07,-68.0748
4.2016e+07,-68.0435
4.20784e+07,-68.1055
4.21408e+07,-68.0728
4.22031e+07,-68.1024
4.22655e+07,-68.0801
4.23279e+07,-68.1397
4.23902e+07,-68.1552
4.24526e+07,-68.1236
4.2515e+07,-68.1051
4.25774e+07,-68.1715
4.26398e+07,-68.2094
4.27021e+07,-68.1986
4.27645e+07,-68.0938
4.28269e+07,-68.2061
4.28892e+07,-68.2467
4.29516e+07,-68.1728
4.3014e+07,-68.2344
4.30764e+07,-68.2726
4.31388e+07,-68.2485
4.32011e+07,-68.288
4.32635e+07,-68.2825
4.33259e+07,-68.2438
4.33882e+07,-68.29
4.34506e+07,-68.2845
4.3513e+07,-68.3295
4.35754e+07,-68.3
4.36378e+07,-68.3237
4.37001e+07,-68.4188
4.37625e+07,-68.4347
4.38249e+07,-68.3887
4.38872e+07,-68.4289
4.39496e+07,-68.4057
4.4012e+07,-68.5085
4.40744e+07,-68.496
4.41368e+07,-68.4618
4.41991e+07,-68.5433
4.42615e+07,-68.5609
4.43239e+07,-68.5923
4.43862e+07,-68.469
4.44486e+07,-68.5988
4.4511e+07,-68.6427
4.45734e+07,-68.6038
4.46358e+07,-68.6395
4.46981e+07,-68.6837
4.47605e+07,-68.6571
4.48229e+07,-68.6361
4.48852e+07,-68.6872
4.49476e+07,-68.7442
4.501e+07,-68.737
4.50724e+07,-68.8071
4.51348e+07,-68.7744
4.51971e+07,-68.6499
4.52595e+07,-68.7867
4.53219e+07,-68.7766
4.53842e+07,-68.847
4.54466e+07,-68.8553
4.5509e+07,-68.8935
4.55714e+07,-68.852
4.56338e+07,-68.7797
4.56961e+07,-68.8928
4.57585e+07,-68.9484
4.58209e+07,-68.918
4.58832e+07,-68.9293
4.59456e+07,-68.9376
4.6008e+07,-68.9446
4.60704e+07,-69.0178
4.61328e+07,-68.9671
4.61951e+07,-69.0638
4.62575e+07,-69.0898
4.63199e+07,-69.1115
4.63822e+07,-69.104
4.64446e+07,-69.1023
4.6507e+07,-69.102
4.65694e+07,-69.221
4.66318e+07,-69.1602
4.66941e+07,-69.2398
4.67565e+07,-69.2322
4.68189e+07,-69.3035
4.68812e+07,-69.2988
4.69436e+07,-69.342
4.7006e+07,-69.2565
4.70684e+07,-69.3566
4.71308e+07,-69.3956
4.71931e+07,-69.3456
4.72555e+07,-69.4558
4.73179e+07,-69.3738
4.73802e+07,-69.4996
4.74426e+07,-69.5547
4.7505e+07,-69.4778
4.75674e+07,-69.5097
4.76298e+07,-69.5003
4.76921e+07,-69.4679
4.77545e+07,-69.5782
4.78169e+07,-69.6353
4.78792e+07,-69.6289
4.79416e+07,-69.6333
4.8004e+07,-69.6083
4.80664e+07,-69.7078
4.81288e+07,-69.6498
4.81911e+07,-69.6402
4.82535e+07,-69.668
4.83159e+07,-69.6803
4.83782e+07,-69.6255
4.84406e+07,-69.7159
4.8503e+07,-69.6843
4.85654e+07,-69.6279
4.86278e+07,-69.6651
4.86901e+07,-69.7087
4.87525e+07,-69.7147
4.88149e+07,-69.68
4.88772e+07,-69.7804
4.89396e+07,-69.6281
4.9002e+07,-69.7468
4.90644e+07,-69.764
4.91268e+07,-69.6961
4.91891e+07,-69.6802
4.92515e+07,-69.7506
4.93139e+07,-69.7615
4.93762e+07,-69.7046
4.94386e+07,-69.799
4.9501e+07,-69.7861
4.95634e+07,-69.7479
4.96258e+07,-69.6864
4.96881e+07,-69.7191
4.97505e+07,-69.7488
4.98129e+07,-69.7454
4.98752e+07,-69.7169
4.99376e+07,-69.6884
5e+07,-69.759
