f,gain
3.52171e+07,-21.9743
3.52795e+07,-22.0141
3.53419e+07,-22.0533
3.54042e+07,-22.0959
3.54666e+07,-22.1343
3.5529e+07,-22.1688
3.55914e+07,-22.2095
3.56538e+07,-22.2437
3.57161e+07,-22.29
3.57785e+07,-22.3246
3.58409e+07,-22.3606
3.59032e+07,-22.3988
3.59656e+07,-22.4434
3.6028e+07,-22.4786
3.60904e+07,-22.5199
3.61528e+07,-22.5596
3.62151e+07,-22.5993
3.62775e+07,-22.6399
3.63399e+07,-22.6761
3.64022e+07,-22.7148
3.64646e+07,-22.7544
3.6527e+07,-22.7935
3.65894e+07,-22.8353
3.66518e+07,-22.8654
3.67141e+07,-22.9124
3.67765e+07,-22.9462
3.68389e+07,-22.9883
3.69012e+07,-23.0255
3.69636e+07,-23.062
3.7026e+07,-23.103
3.70884e+07,-23.1443
3.71508e+07,-23.1822
3.72131e+07,-23.226
3.72755e+07,-23.2603
3.73379e+07,-23.3007
3.74002e+07,-23.3394
3.74626e+07,-23.3785
3.7525e+07,-23.4192
3.75874e+07,-23.4614
3.76498e+07,-23.4984
3.77121e+07,-23.5332
3.77745e+07,-23.5755
3.78369e+07,-23.6131
3.78992e+07,-23.6595
3.79616e+07,-23.6903
3.8024e+07,-23.7281
3.80864e+07,-23.7675
3.81488e+07,-23.8059
3.82111e+07,-23.8456
3.82735e+07,-23.8843
3.83359e+07,-23.9255
3.83982e+07,-23.9634
3.84606e+07,-24.0044
3.8523e+07,-24.0445
3.85854e+07,-24.0778
3.86478e+07,-24.1156
3.87101e+07,-24.1573
3.87725e+07,-24.1917
3.88349e+07,-24.2306
3.88972e+07,-24.264
3.89596e+07,-24.3112
3.9022e+07,-24.3421
3.90844e+07,-24.3849
3.91468e+07,-24.4226
3.92091e+07,-24.4603
3.92715e+07,-24.4986
3.93339e+07,-24.5406
3.93962e+07,-24.576
3.94586e+07,-24.6157
3.9521e+07,-24.6511
3.95834e+07,-24.6868
3.96458e+07,-24.7201
3.97081e+07,-24.7638
3.97705e+07,-24.7952
3.98329e+07,-24.8292
3.98952e+07,-24.8691
3.99576e+07,-24.8956
4.002e+07,-24.9375
4.00824e+07,-24.9662
4.01448e+07,-25.0054
4.02071e+07,-25.037
4.02695e+07,-25.0744
4.03319e+07,-25.1087
4.03942e+07,-25.1449
4.04566e+07,-25.1772
4.0519e+07,-25.2131
4.05814e+07,-25.246
4.06438e+07,-25.283
4.07061e+07,-25.317
4.07685e+07,-25.3489
4.08309e+07,-25.3819
4.08932e+07,-25.4226
4.09556e+07,-25.4578
4.1018e+07,-25.487
4.10804e+07,-25.5297
4.11428e+07,-25.567
4.12051e+07,-25.5905
4.12675e+07,-25.6334
4.13299e+07,-25.6615
4.13922e+07,-25.6954
4.14546e+07,-25.7339
4.1517e+07,-25.7714
4.15794e+07,-25.8117
4.16418e+07,-25.8468
4.17041e+07,-25.8753
4.17665e+07,-25.9119
4.18289e+07,-25.9439
4.18912e+07,-25.9798
4.19536e+07,-26.0144
4.2016e+07,-26.0519
4.20784e+07,-26.0866
4.21408e+07,-26.116
4.22031e+07,-26.154
4.22655e+07,-26.1867
4.23279e+07,-26.2242
4.23902e+07,-26.2585
4.24526e+07,-26.2946
4.2515e+07,-26.3229
