f,noise
4.56338e+07,-86.6903
4.56961e+07,-87.1361
4.57585e+07,-87.4507
4.58209e+07,-85.7748
4.58832e+07,-87.6275
4.59456e+07,-86.1291
4.6008e+07,-85.26
4.60704e+07,-86.6007
4.61328e+07,-86.0727
4.61951e+07,-86.57
4.62575e+07,-86.2588
4.63199e+07,-87.4887
4.63822e+07,-84.8233
4.64446e+07,-87.2412
4.6507e+07,-87.9616
4.65694e+07,-88.4521
4.66318e+07,-87.2703
4.66941e+07,-86.7812
4.67565e+07,-87.3783
4.68189e+07,-86.8353
4.68812e+07,-86.6523
4.69436e+07,-86.9046
4.7006e+07,-88.284
4.70684e+07,-87.3953
4.71308e+07,-86.3487
4.71931e+07,-86.5698
4.72555e+07,-87.6612
4.73179e+07,-88.2445
4.73802e+07,-86.3264
4.74426e+07,-86.6756
4.7505e+07,-87.8108
4.75674e+07,-86.8786
4.76298e+07,-86.7615
4.76921e+07,-87.7296
4.77545e+07,-87.6875
4.78169e+07,-85.8297
4.78792e+07,-86.352
4.79416e+07,-85.0471
4.8004e+07,-83.6551
4.80664e+07,-86.1511
4.81288e+07,-86.3922
4.81911e+07,-86.6
4.82535e+07,-87.0498
4.83159e+07,-86.9974
4.83782e+07,-88.2776
4.84406e+07,-87.54
4.8503e+07,-87.9111
4.85654e+07,-87.2149
4.86278e+07,-86.6766
4.86901e+07,-85.704
4.87525e+07,-88.5299
4.88149e+07,-88.0423
4.88772e+07,-86.1328
4.89396e+07,-85.8851
4.9002e+07,-86.1631
4.90644e+07,-86.3077
4.91268e+07,-86.6288
4.91891e+07,-87.3843
4.92515e+07,-85.5735
4.93139e+07,-85.4304
4.93762e+07,-86.0727
4.94386e+07,-85.7244
4.9501e+07,-86.1104
4.95634e+07,-86.4257
4.96258e+07,-85.5103
4.96881e+07,-86.3362
4.97505e+07,-85.8984
4.98129e+07,-86.0779
4.98752e+07,-87.0552
4.99376e+07,-85.3288
5e+07,-87.5014
